Date,PcrVolAll,PcrVol10,PcrVol20,PcrVol30,PcrVol60,PcrVol90,PcrVol120,PcrVol150,PcrVol180,PcrVol270,PcrVol360,PcrVol720,PcrVol1080,PcrOiAll,PcrOi10,PcrOi20,PcrOi30,PcrOi60,PcrOi90,PcrOi120,PcrOi150,PcrOi180,PcrOi270,PcrOi360,PcrOi720,PcrOi1080,ForwardPrice10,ForwardPrice20,ForwardPrice30,ForwardPrice60,ForwardPrice90,ForwardPrice120,ForwardPrice150,ForwardPrice180,ForwardPrice270,ForwardPrice360,ForwardPrice720,ForwardPrice1080,OptionBreakeven10,OptionBreakeven20,OptionBreakeven30,OptionBreakeven60,OptionBreakeven90,OptionBreakeven120,OptionBreakeven150,OptionBreakeven180,OptionBreakeven270,OptionBreakeven360,OptionBreakeven720,OptionBreakeven1080,CallBreakeven10,CallBreakeven20,CallBreakeven30,CallBreakeven60,CallBreakeven90,CallBreakeven120,CallBreakeven150,CallBreakeven180,CallBreakeven270,CallBreakeven360,CallBreakeven720,CallBreakeven1080,PutBreakeven10,PutBreakeven20,PutBreakeven30,PutBreakeven60,PutBreakeven90,PutBreakeven120,PutBreakeven150,PutBreakeven180,PutBreakeven270,PutBreakeven360,PutBreakeven720,PutBreakeven1080
2018-12-31,0.6249,0.4349,0.4609,0.6435,0.5361,0.4458,0.5698,0.8401,0.9608,0.6251,0.3765,1.1528,1.223,0.899,1.004,0.7844,0.7257,0.7801,0.7697,0.7846,0.9982,1.1698,1.0945,0.9391,0.5944,0.5464,101.87,102.02,102.09,102.06,102.08,102.22,102.27,102.35,102.61,102.8,105.2,105.4,100.8,101.51,96.9,102.65,105.09,106.28,104.17,102.51,102.4,102.76,110.63,111.05,106.64,108.78,109.39,112.88,116.34,119.09,119.27,119.93,122.97,125.44,128.16,127.61,96.89,91.44,81.88,89.38,90.36,90.02,88.9,87.63,82.92,78.26,80.82,80.76
2018-12-28,0.4035,0.4314,0.3071,0.7526,0.5774,0.3582,0.2371,0.4269,0.5163,0.3133,0.3356,0.5182,0.4573,0.9238,0.8178,1.0066,0.6074,0.756,0.7858,0.7714,0.9857,1.1738,1.1123,0.9483,0.5974,0.5428,100.68,100.86,101.2,100.99,101.0,101.16,101.18,101.23,101.56,101.83,104.55,104.8,101.59,99.2,104.33,102.77,104.56,106.42,104.14,102.19,102.02,102.44,110.44,110.96,106.92,108.16,109.13,112.76,116.05,119.43,119.4,119.74,122.89,125.32,128.22,127.63,95.8,88.57,93.76,89.27,89.69,89.48,88.42,87.24,82.54,77.9,80.33,80.24
2018-12-27,0.8728,0.6754,1.0092,1.5137,1.1718,1.0477,0.3063,0.479,0.7355,1.2522,1.2668,0.4179,0.2743,0.887,0.683,1.0026,0.4468,0.7266,0.7845,0.7734,0.9864,1.1648,1.0727,0.9389,0.6002,0.5457,101.36,101.58,101.8,101.72,101.66,101.99,101.94,101.92,102.26,102.6,103.85,103.9,102.14,100.61,104.82,103.5,104.7,106.79,104.45,102.66,103.16,102.95,110.54,110.97,106.49,109.14,109.69,113.32,116.54,119.99,119.95,120.24,123.49,125.88,128.46,127.82,96.75,90.19,94.21,89.81,89.52,89.66,88.52,87.58,83.58,78.16,80.3,80.11
2018-12-26,0.7247,0.4953,0.5594,0.4299,1.4178,1.3023,0.7202,0.6684,0.6136,0.5207,0.4734,0.369,0.2056,0.8954,0.6594,1.0302,0.4863,0.682,0.6763,0.7708,0.9975,1.1921,1.0835,0.9439,0.6298,0.5826,101.07,101.36,101.73,101.45,101.6,102.09,102.23,102.35,102.46,102.61,106.84,106.95,102.86,98.84,105.53,103.87,105.44,106.37,104.15,102.4,103.08,102.71,109.24,109.69,106.92,108.23,109.94,113.16,116.07,119.46,119.6,120.01,123.17,125.21,127.2,126.59,97.33,89.12,96.02,90.0,89.81,89.66,88.54,87.62,83.91,78.48,80.72,80.68
2018-12-24,0.6542,0.5074,1.2376,0.4835,0.9752,1.5594,0.5986,0.6223,0.7227,1.2628,0.6801,0.1316,0.0565,0.9029,0.4964,1.0232,0.6127,0.652,0.6627,0.759,0.9876,1.1994,1.0922,0.9504,0.6871,0.6456,94.43,94.86,95.44,95.03,94.95,95.21,95.28,95.34,95.38,95.62,100.37,101.0,102.07,96.76,101.61,101.96,103.2,104.71,102.11,99.8,100.95,100.73,105.26,105.2,106.81,107.39,108.78,111.69,114.37,118.16,118.04,118.1,121.63,123.6,124.21,123.12,92.91,88.06,90.45,87.04,86.46,87.06,85.78,84.63,81.42,76.27,77.92,77.78
2018-12-21,0.5796,0.4405,0.8036,0.3849,0.9138,0.5574,0.4991,0.4424,0.3858,0.4623,0.6263,1.0753,1.1195,0.9148,0.5094,0.9181,0.8816,0.6563,0.6535,0.7301,0.9787,1.2273,1.199,0.9823,0.6418,0.5848,98.54,99.87,99.74,98.98,98.79,99.3,99.33,99.35,99.77,100.39,105.19,105.35,103.25,101.8,100.14,103.5,104.38,106.74,103.96,101.18,102.01,102.2,108.4,108.74,107.43,109.23,109.14,112.66,114.98,119.82,119.48,119.13,123.17,124.9,126.29,125.21,95.9,96.17,89.37,89.55,88.45,88.68,87.6,86.53,83.37,78.1,80.79,80.93
2018-12-20,0.7775,0.4112,0.4725,0.936,0.7151,0.7216,0.4724,0.3645,0.2566,0.8641,1.6067,0.1249,0.0987,0.9056,0.5838,0.9082,0.9585,0.6488,0.6608,0.7212,0.9763,1.2314,1.2143,0.9876,0.6527,0.5893,101.85,102.25,102.52,102.59,102.28,102.4,102.4,102.4,102.96,103.36,107.78,108.4,105.01,104.7,101.38,105.11,106.02,108.19,105.33,102.48,103.16,103.2,110.04,110.49,108.95,110.96,110.15,113.89,116.2,120.32,120.19,120.05,124.01,125.79,127.63,126.55,99.04,98.86,90.73,91.49,90.34,91.18,89.67,88.17,84.95,79.32,82.76,82.94
2018-12-19,0.8276,0.6593,1.7182,0.6364,0.8856,0.5871,0.5023,0.5178,0.5332,0.8749,1.7939,0.2105,0.1141,0.8913,0.5621,0.5714,0.9855,0.6067,0.6789,0.7142,0.9696,1.225,1.359,1.0179,0.6577,0.5927,103.98,104.34,104.64,104.8,104.94,105.69,105.55,105.41,105.79,106.46,108.99,109.3,106.03,107.31,102.96,106.32,107.56,109.26,106.22,103.17,103.28,103.84,110.92,111.36,109.57,111.99,111.27,114.4,116.99,121.2,120.71,120.21,124.65,126.62,128.75,127.67,100.56,99.39,91.88,92.83,92.87,92.34,90.88,89.42,86.1,80.14,83.69,83.86
2018-12-18,0.5196,0.6099,0.3696,0.6614,0.4478,0.4384,0.8634,0.646,0.4287,0.0915,0.1448,1.0434,1.2629,0.9021,0.5438,0.5688,1.029,0.6257,0.6989,0.7018,0.9579,1.2141,1.5184,1.0655,0.6535,0.5832,104.22,104.25,104.31,104.59,104.54,104.8,104.82,104.85,105.28,105.55,109.1,109.6,107.18,107.38,101.61,106.21,107.15,109.14,106.34,103.54,102.52,103.57,111.2,111.73,110.48,112.04,110.87,114.49,116.6,121.26,121.0,120.74,124.59,126.55,128.88,127.8,101.38,99.36,89.91,92.83,92.79,91.88,90.58,89.28,86.12,80.16,83.99,84.18
2018-12-17,0.4896,0.3585,0.491,0.4404,0.2646,0.7103,0.452,0.4397,0.4349,0.5135,0.263,0.1703,0.197,0.9285,0.6257,0.566,0.98,0.7938,0.6872,0.7064,0.9526,1.2056,1.5411,1.0757,0.6625,0.5909,103.15,103.29,103.39,103.59,103.33,103.64,103.9,104.16,104.1,104.43,107.04,107.45,106.76,107.08,102.2,105.21,105.79,108.66,106.06,103.3,102.1,103.13,110.16,110.62,110.94,111.76,111.02,115.03,115.95,120.75,120.65,120.41,124.14,125.95,127.85,126.68,100.73,99.11,90.7,92.76,90.68,91.54,90.3,89.0,85.95,80.01,83.57,83.75
2018-12-14,0.5658,0.4412,0.3743,0.6894,0.4339,0.7164,0.6231,1.4189,2.3465,1.4867,3.2806,5.9388,7.1875,0.937,0.7288,0.6135,0.8022,0.9008,0.6945,0.7059,0.9314,1.1888,1.6027,1.0945,0.623,0.5343,106.3,106.43,106.52,107.07,106.55,106.99,107.11,107.18,107.7,108.44,113.41,113.95,107.97,107.49,106.89,106.66,107.67,109.3,107.23,104.61,103.12,104.36,113.09,114.1,112.28,111.49,113.38,115.34,116.59,120.87,121.43,121.44,125.34,127.24,130.58,129.76,102.09,100.81,97.04,95.94,93.79,93.0,91.7,90.33,87.26,81.15,84.66,84.78
2018-12-13,0.5945,0.6027,0.7086,3.162,0.4153,0.646,0.9337,1.71,2.5827,1.0334,2.279,22.7176,28.5077,0.9471,0.7387,0.6157,0.6943,0.9018,0.7008,0.7052,0.916,1.1655,1.6235,1.1033,0.5392,0.4259,109.56,109.68,109.76,110.07,109.91,110.11,110.23,110.32,110.88,111.28,113.67,114.0,109.44,109.05,109.22,107.73,108.82,110.62,108.66,105.95,104.15,105.36,115.81,117.14,113.74,113.26,115.0,117.09,117.94,122.14,122.78,122.71,126.56,128.49,131.85,130.89,103.03,102.1,99.65,96.97,94.74,94.15,92.86,91.43,88.29,81.95,84.91,84.84
2018-12-12,0.7022,0.5864,0.8557,1.7554,0.8385,0.6428,0.6158,0.5881,0.5549,0.7447,0.6339,0.2234,0.2618,0.9377,0.7483,0.5788,0.4341,0.9945,0.7022,0.7053,0.9031,1.145,1.632,1.1089,0.5379,0.4261,109.3,109.42,109.54,110.27,110.12,110.31,110.56,110.82,111.12,111.59,114.21,114.35,109.03,109.26,110.85,107.52,108.72,111.01,109.1,106.14,104.02,105.3,115.78,117.13,113.83,113.1,114.88,116.77,117.89,121.71,122.58,122.68,126.54,128.49,131.76,130.84,101.97,102.42,101.15,97.3,94.54,95.31,93.74,91.56,88.19,81.89,84.99,84.95
2018-12-11,0.8508,0.8815,0.926,0.2124,0.7724,0.7328,0.6411,0.5925,0.5553,0.8423,0.9937,5.4135,6.5104,0.9325,0.7092,0.5105,0.4353,1.0767,0.6533,0.6929,0.8956,1.1393,1.6328,1.1144,0.4714,0.3378,108.82,108.96,109.05,109.38,109.32,109.38,109.51,109.65,110.26,110.46,113.61,114.2,109.54,109.3,110.64,107.42,109.02,110.39,108.64,105.95,103.89,104.98,116.83,118.56,114.66,113.09,114.32,116.27,117.75,121.76,122.71,122.64,126.48,128.32,131.32,130.28,101.07,101.74,102.32,97.54,94.41,93.77,92.56,91.14,88.05,81.52,84.08,83.88
2018-12-10,0.5869,0.687,0.5056,0.2803,1.4951,0.8828,0.5185,0.6026,0.8456,1.3611,0.6171,0.574,0.256,0.935,0.7194,0.5503,0.4065,0.8536,0.6227,0.6806,0.8831,1.1242,1.6051,1.1172,0.474,0.3373,107.73,107.86,107.99,108.32,108.44,108.57,108.72,108.89,109.06,109.43,113.15,113.65,109.33,109.23,110.37,107.02,107.63,109.78,108.45,105.77,103.79,104.53,116.22,117.94,114.73,113.17,113.86,115.65,117.35,121.28,122.32,122.15,126.14,127.72,130.56,129.43,100.28,101.76,101.83,96.42,91.85,92.9,92.36,91.0,88.05,81.46,84.03,83.85
2018-12-07,0.6307,0.6944,0.5057,0.3714,0.8896,0.3318,0.4081,0.4407,0.3578,1.1072,0.5389,0.7744,0.3867,0.9446,1.0031,0.6967,0.4966,0.5552,0.6675,0.6855,0.8608,1.1034,1.6486,1.1435,0.4783,0.3368,105.05,105.15,105.34,105.73,105.67,105.82,106.41,107.2,109.51,110.31,112.52,112.85,106.89,108.09,108.36,107.86,106.21,108.62,108.11,105.24,102.62,103.85,116.27,117.85,113.3,112.95,112.3,113.93,115.65,119.38,121.23,121.28,125.1,126.74,129.8,128.7,99.27,101.35,100.5,97.12,91.84,92.74,92.47,90.51,87.09,80.95,84.69,84.27
2018-12-06,0.8316,1.0121,0.5434,0.2961,0.3566,0.5334,0.7368,0.8149,0.8114,13.0092,5.8429,0.8972,0.0493,0.9481,1.1147,0.8647,0.593,0.859,0.6779,0.6837,0.8505,1.0952,0.8608,0.883,0.4634,0.3384,109.36,109.49,109.62,110.63,109.83,109.96,110.21,110.46,111.42,112.03,115.62,116.0,107.77,109.11,110.05,107.0,108.21,110.42,109.9,106.87,108.41,106.43,117.43,118.82,114.06,114.15,114.8,116.22,116.9,120.74,122.82,122.68,126.61,128.28,131.63,130.49,101.01,103.2,102.12,94.59,95.18,95.01,94.11,92.12,87.34,81.76,84.99,84.31
2018-12-04,0.6948,0.6916,1.0471,1.0446,0.4318,0.4759,0.6849,0.8654,1.009,3.8091,1.4812,0.4543,0.4841,0.9387,1.3768,0.8034,0.5072,0.9013,0.763,0.7107,0.8255,1.0766,0.7799,0.8601,0.4639,0.3332,108.76,108.91,109.05,109.78,109.58,109.51,109.79,110.05,110.67,110.82,114.38,115.15,106.24,108.97,110.32,105.95,107.57,109.92,109.94,106.64,108.78,106.36,118.09,119.37,113.19,114.29,114.42,115.38,116.36,119.91,122.29,121.97,126.32,127.82,131.3,130.08,100.69,101.79,101.95,93.93,95.37,95.14,94.42,92.23,86.47,81.6,86.52,85.81
2018-12-03,0.5213,0.5267,0.6653,0.6585,0.5327,1.0093,1.311,1.1677,0.8609,1.0433,0.7944,0.1218,0.1462,0.9523,1.6384,0.7868,0.5334,0.9184,0.7615,0.7155,0.8178,1.0604,0.7315,0.8437,0.4684,0.3347,112.25,112.34,112.47,112.84,112.87,112.89,113.02,113.07,113.55,113.97,115.87,116.2,106.27,110.61,111.85,107.95,108.88,110.69,110.87,108.03,110.32,107.62,119.29,121.03,113.93,115.96,115.69,116.92,117.81,121.0,123.59,123.61,127.01,128.96,133.12,131.99,101.46,102.64,103.24,95.72,96.53,95.73,94.96,93.09,87.78,82.59,87.17,86.8
2018-12-01,0.4106,0.8825,0.2839,0.3199,0.6711,0.7299,0.4573,1.5783,4.5986,0.2932,0.2819,0.2215,0.2915,0.9739,1.3792,0.8323,0.7555,0.9383,0.7692,0.7337,0.7894,1.0196,0.7568,0.8508,0.4765,0.3339,110.99,111.08,111.21,111.57,111.68,111.62,111.73,111.8,112.31,112.78,115.89,116.5,107.0,109.6,109.86,105.33,108.32,109.78,110.8,107.97,109.51,107.15,117.76,119.33,113.18,116.16,114.97,116.38,117.42,120.09,123.41,123.37,126.41,128.53,132.43,131.15,102.5,99.86,102.49,91.83,96.01,95.08,94.51,92.6,87.43,82.27,84.88,83.94
2018-11-30,0.4106,0.9006,0.285,0.3188,0.6731,0.7282,0.4567,1.5909,4.6111,0.2932,0.2819,0.2217,0.2915,0.9739,1.3937,0.8337,0.7491,0.937,0.7692,0.7335,0.7903,1.0206,0.7569,0.851,0.4762,0.3339,110.99,111.08,111.22,111.57,111.67,111.62,111.73,111.8,112.31,112.78,115.89,116.5,106.93,109.59,109.87,105.36,108.31,109.8,110.79,107.96,109.51,107.14,117.76,119.33,113.2,116.13,114.99,116.39,117.42,120.12,123.41,123.37,126.41,128.53,132.43,131.15,102.42,99.92,102.43,91.87,96.0,95.08,94.5,92.59,87.42,82.27,84.88,83.94
